currency,order_book_timestamp,best_bid,best_ask,spread,mid_price,obi
BTC-USD,2026-08-28T20:32:39.503646Z,77336.71,77336.72,0.01,77336.715,-0.1017913876181549996728569368
BTC-USD,2026-08-28T20:32:39.601189Z,77336.71,77336.72,0.01,77336.715,-0.1013614260481840353337594691
BTC-USD,2026-08-28T20:32:39.633886Z,77336.71,77336.72,0.01,77336.715,-0.1013614260481840353337594691
BTC-USD,2026-08-28T20:32:39.691138Z,77336.71,77336.72,0.01,77336.715,-0.1013614260481840353337594691
BTC-USD,2026-08-28T20:32:39.750466Z,77336.71,77336.72,0.01,77336.715,-0.1013614260481840353337594691
BTC-USD,2026-08-28T20:32:39.795804Z,77336.71,77336.72,0.01,77336.715,-0.1013614260481840353337594691
BTC-USD,2026-08-28T20:32:39.898064Z,77336.71,77336.72,0.01,77336.715,-0.1013614260481840353337594691
BTC-USD,2026-08-28T20:32:39.945882Z,77336.71,77336.72,0.01,77336.715,-0.1013614260481840353337594691
BTC-USD,2026-08-28T20:32:39.998629Z,77336.71,77336.72,0.01,77336.715,-0.1000830300951779564035620158
BTC-USD,2026-08-28T20:32:40.040949Z,77336.71,77336.72,0.01,77336.715,-0.1000830300951779564035620158
BTC-USD,2026-08-28T20:32:40.094376Z,77336.71,77336.72,0.01,77336.715,-0.1000830300951779564035620158
BTC-USD,2026-08-28T20:32:40.153657Z,77336.71,77336.72,0.01,77336.715,-0.1000830300951779564035620158
BTC-USD,2026-08-28T20:32:40.19321Z,77336.71,77336.72,0.01,77336.715,-0.2799270820913004718519922413
BTC-USD,2026-08-28T20:32:40.245798Z,77336.71,77336.72,0.01,77336.715,-0.2799270820913004718519922413
BTC-USD,2026-08-28T20:32:40.294709Z,77336.71,77336.72,0.01,77336.715,-0.2799671293694656541911801543
BTC-USD,2026-08-28T20:32:40.331955Z,77336.71,77336.72,0.01,77336.715,-0.2799671293694656541911801543
BTC-USD,2026-08-28T20:32:40.398355Z,77336.71,77336.72,0.01,77336.715,-0.2799671293694656541911801543
BTC-USD,2026-08-28T20:32:40.443787Z,77336.71,77336.72,0.01,77336.715,-0.2799371226712053101393356107
BTC-USD,2026-08-28T20:32:40.497324Z,77336.71,77336.72,0.01,77336.715,-0.1000938152367081424309721744
BTC-USD,2026-08-28T20:32:40.529355Z,77336.71,77336.72,0.01,77336.715,-0.1000938152367081424309721744
BTC-USD,2026-08-28T20:32:40.583086Z,77336.71,77336.72,0.01,77336.715,-0.1000938152367081424309721744
BTC-USD,2026-08-28T20:32:40.637958Z,77336.71,77336.72,0.01,77336.715,-0.1000938152367081424309721744
BTC-USD,2026-08-28T20:32:40.692906Z,77336.71,77336.72,0.01,77336.715,-0.1000938152367081424309721744
BTC-USD,2026-08-28T20:32:40.744807Z,77336.71,77336.72,0.01,77336.715,-0.1002001296056489579287741044
BTC-USD,2026-08-28T20:32:40.783243Z,77336.71,77336.72,0.01,77336.715,-0.1009722144977531307172033952
BTC-USD,2026-08-28T20:32:40.850074Z,77336.71,77336.72,0.01,77336.715,-0.09119336133128868485831614252
BTC-USD,2026-08-28T20:32:40.891029Z,77336.71,77336.72,0.01,77336.715,-0.09119336133128868485831614252
BTC-USD,2026-08-28T20:32:40.917255Z,77336.71,77336.72,0.01,77336.715,-0.09119336133128868485831614252
BTC-USD,2026-08-28T20:32:40.999441Z,77336.71,77336.72,0.01,77336.715,-0.09073721221584380348907048283
BTC-USD,2026-08-28T20:32:41.022687Z,77336.71,77336.72,0.01,77336.715,-0.09073721221584380348907048283
BTC-USD,2026-08-28T20:32:41.085241Z,77336.71,77336.72,0.01,77336.715,-0.09073721221584380348907048283
BTC-USD,2026-08-28T20:32:41.140683Z,77336.71,77336.72,0.01,77336.715,-0.09073721221584380348907048283
BTC-USD,2026-08-28T20:32:41.188761Z,77336.71,77336.72,0.01,77336.715,-0.09073721221584380348907048283
BTC-USD,2026-08-28T20:32:41.239616Z,77336.71,77336.72,0.01,77336.715,-0.09073721221584380348907048283
BTC-USD,2026-08-28T20:32:41.289622Z,77336.71,77336.72,0.01,77336.715,-0.09073721221584380348907048283
BTC-USD,2026-08-28T20:32:41.315523Z,77336.71,77336.72,0.01,77336.715,-0.09073721221584380348907048283
BTC-USD,2026-08-28T20:32:41.391084Z,77336.71,77336.72,0.01,77336.715,-0.09073721221584380348907048283
BTC-USD,2026-08-28T20:32:41.411757Z,77336.71,77336.72,0.01,77336.715,-0.09073721221584380348907048283
BTC-USD,2026-08-28T20:32:41.47048Z,77336.71,77336.72,0.01,77336.715,-0.08981419442625000566516822081
BTC-USD,2026-08-28T20:32:41.52156Z,77336.71,77336.72,0.01,77336.715,-0.08981419442625000566516822081
BTC-USD,2026-08-28T20:32:41.584725Z,77336.71,77336.72,0.01,77336.715,-0.08981419442625000566516822081
BTC-USD,2026-08-28T20:32:41.630959Z,77336.71,77336.72,0.01,77336.715,-0.08981419442625000566516822081
BTC-USD,2026-08-28T20:32:41.692776Z,77336.71,77336.72,0.01,77336.715,-0.08981419442625000566516822081
BTC-USD,2026-08-28T20:32:41.734382Z,77336.71,77336.72,0.01,77336.715,0.1700983964171390201180460851
BTC-USD,2026-08-28T20:32:41.777701Z,77336.72,77336.73,0.01,77336.725,0.2843463356497338549184259910
BTC-USD,2026-08-28T20:32:41.827908Z,77336.73,77336.74,0.01,77336.735,0.3211153676818724101269657187
BTC-USD,2026-08-28T20:32:41.879195Z,77336.94,77338.27,1.33,77337.605,-0.08792184799538104624530491232
BTC-USD,2026-08-28T20:32:42.088504Z,77338.36,77338.37,0.01,77338.365,-0.2222071151578400548412817278
BTC-USD,2026-08-28T20:32:42.110807Z,77338.36,77338.37,0.01,77338.365,-0.1245378282431028751727351845
BTC-USD,2026-08-28T20:32:42.134093Z,77338.36,77338.37,0.01,77338.365,-0.1245378282431028751727351845
BTC-USD,2026-08-28T20:32:42.198613Z,77338.36,77338.37,0.01,77338.365,-0.1202745778848638905233409348
BTC-USD,2026-08-28T20:32:42.243423Z,77338.36,77338.37,0.01,77338.365,-0.1202745778848638905233409348
BTC-USD,2026-08-28T20:32:42.291993Z,77338.36,77338.37,0.01,77338.365,-0.1202745778848638905233409348
BTC-USD,2026-08-28T20:32:42.331762Z,77338.36,77338.37,0.01,77338.365,-0.1202745778848638905233409348
BTC-USD,2026-08-28T20:32:42.381812Z,77338.36,77338.37,0.01,77338.365,0.1656162396933616130522288474
BTC-USD,2026-08-28T20:32:42.408593Z,77338.36,77338.37,0.01,77338.365,0.1019698299009419033486460422
BTC-USD,2026-08-28T20:32:42.462412Z,77338.36,77338.37,0.01,77338.365,0.03136812128424977462721026526
BTC-USD,2026-08-28T20:32:42.53199Z,77338.36,77338.37,0.01,77338.365,0.03139206795733047338586869421
BTC-USD,2026-08-28T20:32:42.582208Z,77338.36,77338.37,0.01,77338.365,-0.01589115134875340680986521282
BTC-USD,2026-08-28T20:32:42.643782Z,77338.36,77338.37,0.01,77338.365,-0.01589115134875340680986521282
BTC-USD,2026-08-28T20:32:42.692247Z,77338.36,77338.37,0.01,77338.365,-0.2521291088596355461769519462
BTC-USD,2026-08-28T20:32:42.738072Z,77338.36,77338.37,0.01,77338.365,-0.2521291088596355461769519462
BTC-USD,2026-08-28T20:32:42.775319Z,77338.36,77338.37,0.01,77338.365,-0.2521291088596355461769519462
BTC-USD,2026-08-28T20:32:42.83725Z,77338.36,77338.37,0.01,77338.365,-0.2521291088596355461769519462
BTC-USD,2026-08-28T20:32:42.876046Z,77338.36,77338.37,0.01,77338.365,-0.2521291088596355461769519462
