currency,order_book_timestamp,best_bid,best_ask,spread,mid_price,obi
ETH-USD,2026-08-28T20:32:39.284767Z,2427.3,2427.31,0.01,2427.305,0.3832027452658902697774710312
ETH-USD,2026-08-28T20:32:39.342466Z,2427.3,2427.31,0.01,2427.305,0.3832027452658902697774710312
ETH-USD,2026-08-28T20:32:39.364205Z,2427.3,2427.31,0.01,2427.305,0.3832027452658902697774710312
ETH-USD,2026-08-28T20:32:39.445633Z,2427.3,2427.31,0.01,2427.305,0.3832027452658902697774710312
ETH-USD,2026-08-28T20:32:39.500888Z,2427.3,2427.31,0.01,2427.305,0.3832027452658902697774710312
ETH-USD,2026-08-28T20:32:39.549935Z,2427.3,2427.31,0.01,2427.305,0.3832027452658902697774710312
ETH-USD,2026-08-28T20:32:39.598382Z,2427.3,2427.31,0.01,2427.305,0.3832027452658902697774710312
ETH-USD,2026-08-28T20:32:39.654259Z,2427.3,2427.31,0.01,2427.305,0.3832027452658902697774710312
ETH-USD,2026-08-28T20:32:39.69873Z,2427.3,2427.31,0.01,2427.305,0.3832027452658902697774710312
ETH-USD,2026-08-28T20:32:39.72624Z,2427.3,2427.31,0.01,2427.305,0.3832027452658902697774710312
ETH-USD,2026-08-28T20:32:39.802541Z,2427.3,2427.31,0.01,2427.305,0.3832027452658902697774710312
ETH-USD,2026-08-28T20:32:39.908731Z,2427.3,2427.31,0.01,2427.305,0.3832027452658902697774710312
ETH-USD,2026-08-28T20:32:39.953524Z,2427.3,2427.31,0.01,2427.305,0.3832027452658902697774710312
ETH-USD,2026-08-28T20:32:40.034392Z,2427.3,2427.31,0.01,2427.305,0.3832027452658902697774710312
ETH-USD,2026-08-28T20:32:40.108233Z,2427.3,2427.31,0.01,2427.305,0.3832027452658902697774710312
ETH-USD,2026-08-28T20:32:40.162145Z,2427.3,2427.31,0.01,2427.305,0.3832027452658902697774710312
ETH-USD,2026-08-28T20:32:40.194184Z,2427.3,2427.31,0.01,2427.305,0.3832027452658902697774710312
ETH-USD,2026-08-28T20:32:40.25653Z,2427.3,2427.31,0.01,2427.305,0.3832027452658902697774710312
ETH-USD,2026-08-28T20:32:40.305027Z,2427.3,2427.31,0.01,2427.305,0.3832027452658902697774710312
